分類,物品 ,個数,備考
中継カメラ,Panasonic ビデオカメラ hc-v480ms,1,電池2つ、充電には専用充電器が必要
中継カメラ,miniHDMI(オス) to HDMI(メス)ケーブル,1,
中継カメラ,HDMI(オス) to HDMI(オス)ケーブル,1,
中継カメラ,HDMI(メス) to LAN Transfer module,1,
中継カメラ,LANケーブル(推進管轄),2,片方にLANケーブル同士を接続するアダプタが付いている
中継カメラ,Recieve module,1,
中継カメラ,LAN to HDMI(メス) Receive module,1,
中継カメラ,モバイルモニター,1,
中継カメラ,USB-A(オス) to プラグ,2,中継器給電用
中継カメラ,モバイルバッテリー,4,モバイルモニター、中継器給電用
その他,アクションカメラ,1,電池3つ、USBで充電可能
その他,SONY DC-TZ90,2,4K録画時5分が上限、USBで充電可能
その他,Panasonic DSC-WX800,2,4K録画時15分が上限、USBで充電可能
その他,三脚,5,
